Rank,IMDB Rating,Director,Metascore,Release Year,Duration,Title,IMDB Rating scaled up,Movie Age
163,8.1,Martin Scorsese,90,1980,2.15,Raging Bull,81,43
164,8.1,Guy Ritchie,66,1998,1.7833333333333332,"Lock, Stock and Two Smoking Barrels",81,25
165,8.2,Juan José Campanella,80,2009,2.15,El secreto de sus ojos,82,14
166,8.1,Pete Docter,94,2015,1.5833333333333335,Inside Out,81,8
167,8.2,Jon Watts,71,2021,2.466666666666667,Spider-Man: No Way Home,82,2
168,8.1,Martin McDonagh,88,2017,1.9166666666666665,"Three Billboards Outside Ebbing, Missouri",81,6
169,8.1,Danny Boyle,83,1996,1.55,Trainspotting,81,27
170,8.1,David Lean,87,1957,2.6833333333333336,The Bridge on the River Kwai,81,66
171,8.1,Joel Coen,86,1996,1.6333333333333333,Fargo,81,27
172,8.1,Gavin O'Connor,71,2011,2.3333333333333335,Warrior,81,12
173,8.1,Steven Spielberg,75,2002,2.35,Catch Me If You Can,81,21
174,8.1,Clint Eastwood,72,2008,1.9333333333333333,Gran Torino,81,15
175,8.2,Sergio Pablos,65,2019,1.6,Klaus,82,4
176,8.1,Hayao Miyazaki,86,1988,1.4333333333333333,Tonari no Totoro,81,35
177,8.1,Clint Eastwood,86,2004,2.2,Million Dollar Baby,81,19
178,8.1,David Yates,85,2011,2.1666666666666665,Harry Potter and the Deathly Hallows - Part 2,81,12
179,8.2,Majid Majidi,77,1997,1.4833333333333334,Bacheha-Ye aseman,82,26
180,8.1,Ridley Scott,84,1982,1.95,Blade Runner,81,41
181,8.1,Steve McQueen,96,2013,2.2333333333333334,12 Years a Slave,81,10
182,8.1,Richard Linklater,77,1995,1.6833333333333333,Before Sunrise,81,28
183,8.1,Wes Anderson,88,2014,1.65,The Grand Budapest Hotel,81,9
184,8.1,William Wyler,90,1959,3.533333333333333,Ben-Hur,81,64
185,8.1,Stanley Kubrick,89,1975,3.0833333333333335,Barry Lyndon,81,48
186,8.1,Charles Chaplin,81,1925,1.5833333333333335,The Gold Rush,81,98
187,8.1,David Fincher,79,2014,2.4833333333333334,Gone Girl,81,9
188,8.1,Mel Gibson,71,2016,2.3166666666666664,Hacksaw Ridge,81,7
189,8.1,Jim Sheridan,84,1993,2.216666666666667,In the Name of the Father,81,30
190,8.1,Elia Kazan,91,1954,1.8,On the Waterfront,81,69
191,8.1,Bong Joon Ho,82,2003,2.183333333333333,Salinui chueok,81,20
192,8.1,Clyde Bruckman,81,1926,1.3,The General,81,97
193,8.1,Michael Cimino,86,1978,3.05,The Deer Hunter,81,45
194,8.1,Damián Szifron,77,2014,2.033333333333333,Relatos salvajes,81,9
195,8.1,Ingmar Bergman,88,1957,1.5166666666666666,Smultronstället,81,66
196,8.1,Peter Weir,79,1989,2.1333333333333333,Dead Poets Society,81,34
197,8.1,Carol Reed,97,1949,1.7333333333333334,The Third Man,81,74
198,8.2,Henri-Georges Clouzot,85,1953,2.183333333333333,Le salaire de la peur,82,70
199,8.1,George Miller,90,2015,2.1463999999999994,Mad Max: Fury Road,81,8
200,8.2,Buster Keaton,82,1924,2.1463999999999994,Sherlock Jr.,82,99
201,8.1,Pete Docter,79,2001,1.5333333333333332,"Monsters, Inc.",81,22
202,8.1,Frank Capra,73,1939,2.15,Mr. Smith Goes to Washington,81,84
203,8.1,Steven Spielberg,87,1975,2.066666666666667,Jaws,81,48
204,8.1,Dean DeBlois,75,2010,1.6333333333333333,How to Train Your Dragon,81,13
205,8.1,Adam Elliot,81,2009,1.5333333333333332,Mary and Max.,81,14
206,8.1,James Mangold,81,2019,2.533333333333333,Ford v Ferrari,81,4
207,8.1,Ingmar Bergman,88,1957,1.6,Det sjunde inseglet,81,66
208,8.1,Lenny Abrahamson,86,2015,1.9666666666666668,Room,81,8
209,8.1,Joel Coen,71,1998,1.95,The Big Lebowski,81,25
210,8.1,Brad Bird,96,2007,1.85,Ratatouille,81,16
211,8.1,Yasujirô Ozu,100,1953,2.2666666666666666,Tôkyô monogatari,81,70
212,8.1,John G. Avildsen,70,1976,2.1463999999999994,Rocky,81,47
213,8.1,Terry George,79,2004,2.0166666666666666,Hotel Rwanda,81,19
214,8.1,James Mangold,77,2017,2.283333333333333,Logan,81,6
215,8.1,Tom McCarthy,93,2015,2.15,Spotlight,81,8
216,8.1,Oliver Stone,92,1986,2.1463999999999994,Platoon,81,37
217,8.1,Carl Theodor Dreyer,98,1928,1.8333333333333335,La passion de Jeanne d'Arc,81,95
218,8.1,James Cameron,84,1984,1.7833333333333332,The Terminator,81,39
219,8.1,T.J. Gnanavel,81,2021,2.7333333333333334,Jai Bhim,81,2
220,8.1,Richard Linklater,91,2004,1.3333333333333333,Before Sunset,81,19
221,8.1,Ron Howard,74,2013,2.05,Rush,81,10
222,8.1,Sidney Lumet,83,1976,2.0166666666666666,Network,81,47
223,8.1,William Wyler,93,1946,2.8333333333333335,The Best Years of Our Lives,81,77
224,8.1,William Friedkin,82,1973,2.033333333333333,The Exorcist,81,50
225,8.1,Rob Reiner,75,1986,1.4833333333333334,Stand by Me,81,37
226,8.1,Mathieu Kassovitz,81,1995,1.6333333333333333,La haine,81,28
227,8.1,Gore Verbinski,63,2003,2.3833333333333333,Pirates of the Caribbean: The Curse of the Black Pearl,81,20
228,8.0,Victor Fleming,92,1939,1.7,The Wizard of Oz,80,84
229,8.0,Brad Bird,90,2004,1.9166666666666665,The Incredibles,80,19
230,8.1,Sean Penn,73,2007,2.466666666666667,Into the Wild,81,16
231,8.1,Lasse Hallström,81,2009,1.55,Hachi: A Dog's Tale,81,14
